CUSTOMER_ID,CUSTOMER_NAME,EMAIL,PHONE,CITY,STATE,COUNTRY,REGISTERED_DATE,CUSTOMER_STATUS,RECORD_SOURCE
CUST00001,Keith Lewis,brownjoshua@example.com,2743902850,Boston,MA,USA,2023-10-18 11:33:34,ACTIVE,WEBSITE
CUST00002,Brandon Scott,josephpowell@example.org,6046932417,New York,NY,USA,2026-01-23 03:24:37,ACTIVE,WEBSITE
CUST00003,Zachary Jefferson,jeffrey20@example.net,5238199656,Seattle,WA,USA,2023-06-27 22:10:46,ACTIVE,WEBSITE
CUST00004,Erik Rodriguez,mollyford@example.org,2603988525,New York,NY,USA,2024-02-10 14:18:15,INACTIVE,WEBSITE
CUST00005,Paige Douglas,hawkinsrebecca@example.org,8097550509,New York,NY,USA,2024-01-26 22:25:44,ACTIVE,WEBSITE
CUST00006,Madison Reid,baileylarry@example.org,8133977142,Houston,TX,USA,2025-10-19 07:00:38,ACTIVE,WEBSITE
CUST00007,Richard Hendrix,reedjoshua@example.com,3937320863,New York,NY,USA,2023-07-16 18:44:05,INACTIVE,WEBSITE
CUST00008,George Anderson,reyesmonica@example.net,8451582730,Seattle,WA,USA,2024-11-09 16:44:22,ACTIVE,WEBSITE
CUST00009,Vincent Young,dolson@example.com,2858358370,Seattle,WA,USA,2024-09-25 19:24:47,INACTIVE,WEBSITE
CUST00010,Jenna Carpenter,tklein@example.net,6276501921,Boston,MA,USA,2024-02-21 03:24:51,INACTIVE,WEBSITE
CUST00011,Susan Dixon,michelle10@example.com,4781919576,Houston,TX,USA,2024-08-30 04:43:56,INACTIVE,WEBSITE
CUST00012,Frank Williams,robertthomas@example.com,1063758200,New York,NY,USA,2025-11-23 08:26:26,ACTIVE,WEBSITE
CUST00013,Ronald Nelson,dlee@example.net,1703692342,New York,NY,USA,2024-05-01 02:55:26,ACTIVE,WEBSITE
CUST00014,Rachel Morgan,wendysimon@example.org,6304046003,Chicago,IL,USA,2025-08-20 09:17:18,INACTIVE,WEBSITE
CUST00015,Kimberly Garza MD,haley59@example.net,9641956985,Los Angeles,CA,USA,2023-12-26 10:56:13,ACTIVE,WEBSITE
CUST00016,Denise Macdonald,marialane@example.org,3385638095,Seattle,WA,USA,2025-04-26 05:29:30,INACTIVE,WEBSITE
CUST00017,Alexis Brock MD,brivera@example.com,7910310646,Seattle,WA,USA,2024-07-14 07:16:16,INACTIVE,WEBSITE
CUST00018,Charles Martinez,andersonkenneth@example.net,6894239691,Boston,MA,USA,2025-10-04 18:50:10,INACTIVE,WEBSITE
CUST00019,Kerry Graham,barbaraayers@example.net,3297309714,Chicago,IL,USA,2025-06-09 09:40:29,INACTIVE,WEBSITE
CUST00020,Chelsea Waters,michael57@example.com,2761389756,Chicago,IL,USA,2026-03-31 15:02:47,INACTIVE,WEBSITE
CUST00021,Michele Wiggins,millerjackie@example.org,1723314300,Seattle,WA,USA,2026-04-02 09:59:22,INACTIVE,WEBSITE
CUST00022,Daniel Mccormick,patelrachel@example.net,3447003919,Los Angeles,CA,USA,2025-05-09 03:50:57,ACTIVE,WEBSITE
CUST00023,Todd Frazier,ubarker@example.com,8538581041,Boston,MA,USA,2025-12-24 11:42:52,INACTIVE,WEBSITE
CUST00024,Julian Clark,mark69@example.org,7335568564,Chicago,IL,USA,2024-02-20 08:46:00,ACTIVE,WEBSITE
CUST00025,Mark Nguyen,rileyaudrey@example.com,1136337692,Los Angeles,CA,USA,2025-07-23 15:50:17,INACTIVE,WEBSITE
CUST00026,Joseph Newman,john69@example.org,9268172711,Austin,TX,USA,2024-08-10 01:37:29,INACTIVE,WEBSITE
CUST00027,Dustin Jackson,cruzrobert@example.com,7995334826,Boston,MA,USA,2025-07-20 11:55:51,ACTIVE,WEBSITE
CUST00028,Jamie Clay,gregory91@example.org,7532307254,Houston,TX,USA,2025-05-14 01:45:47,ACTIVE,WEBSITE
CUST00029,Alex Barrett,catherine96@example.com,9289947821,New York,NY,USA,2026-05-04 19:11:40,ACTIVE,WEBSITE
CUST00030,Steven Cooper,osmith@example.com,9465317854,Seattle,WA,USA,2023-11-21 04:09:47,ACTIVE,WEBSITE
CUST00031,Jessica Jones,wparsons@example.com,4456654916,New York,NY,USA,2024-06-13 11:08:05,ACTIVE,WEBSITE
CUST00032,Heather Porter,samantha49@example.org,5118491661,Seattle,WA,USA,2024-10-04 21:37:22,INACTIVE,WEBSITE
CUST00033,Leslie Ortiz,tamara73@example.org,2471587502,New York,NY,USA,2024-12-22 13:49:00,ACTIVE,WEBSITE
CUST00034,Steven Williams,austinadams@example.net,9032967831,Boston,MA,USA,2026-04-28 10:34:22,INACTIVE,WEBSITE
CUST00035,Christopher Campbell,baustin@example.org,5253286849,Los Angeles,CA,USA,2024-10-29 00:11:20,INACTIVE,WEBSITE
CUST00036,Steven Wood,gillespiejessica@example.net,7861863058,Los Angeles,CA,USA,2023-07-13 18:32:13,ACTIVE,WEBSITE
CUST00037,Amy Payne,khill@example.net,3271458040,Chicago,IL,USA,2025-10-01 15:32:26,ACTIVE,WEBSITE
CUST00038,Michael Johnson,michaelbailey@example.com,7817276514,Austin,TX,USA,2025-05-13 23:14:47,INACTIVE,WEBSITE
CUST00039,Thomas Richardson,christiantravis@example.org,6275239075,Los Angeles,CA,USA,2025-04-14 19:35:31,INACTIVE,WEBSITE
CUST00040,Andrew Hendrix,crossashley@example.net,5690247219,New York,NY,USA,2024-01-25 01:30:08,ACTIVE,WEBSITE
CUST00041,Wendy Rivera,waltermassey@example.org,5090774689,Houston,TX,USA,2024-11-13 04:52:09,INACTIVE,WEBSITE
CUST00042,Travis Cooper,lauraanderson@example.org,0672867696,Los Angeles,CA,USA,2026-03-11 15:29:40,ACTIVE,WEBSITE
CUST00043,Mark Giles,anthonyschwartz@example.net,5326434060,Seattle,WA,USA,2026-03-31 17:09:17,INACTIVE,WEBSITE
CUST00044,Dakota Beasley,michelle67@example.net,1236982132,Boston,MA,USA,2025-01-20 15:04:01,ACTIVE,WEBSITE
CUST00045,Bridget Wagner,fglass@example.com,9237895921,Austin,TX,USA,2024-02-05 02:45:26,INACTIVE,WEBSITE
CUST00046,Anthony Brown,matthewbrooks@example.com,9064884023,New York,NY,USA,2023-08-19 15:28:42,INACTIVE,WEBSITE
CUST00047,Tyler Norman,dmoore@example.org,3771545211,Austin,TX,USA,2024-07-02 13:09:14,INACTIVE,WEBSITE
CUST00048,Laura Wright,rburke@example.org,5672221593,New York,NY,USA,2025-09-15 03:20:54,ACTIVE,WEBSITE
CUST00049,Christopher Anderson,erica65@example.net,0214556477,New York,NY,USA,2025-12-18 06:05:42,INACTIVE,WEBSITE
CUST00050,Jennifer Park,cthomas@example.net,2414801330,Los Angeles,CA,USA,2023-09-15 10:35:56,ACTIVE,WEBSITE
CUST00051,Kathleen Chandler,oatkins@example.org,6845668656,Austin,TX,USA,2024-09-14 06:15:00,INACTIVE,WEBSITE
CUST00052,Katherine Burgess,eblevins@example.org,6565166988,Houston,TX,USA,2024-11-27 18:36:43,INACTIVE,WEBSITE
CUST00053,Robert Hopkins,opark@example.com,1944291251,Boston,MA,USA,2023-09-13 01:24:54,ACTIVE,WEBSITE
CUST00054,Jim Russell,matthewchen@example.net,5627081884,New York,NY,USA,2024-11-20 16:18:58,INACTIVE,WEBSITE
CUST00055,Sharon Morris,isheppard@example.com,5188025809,New York,NY,USA,2024-02-07 15:07:17,INACTIVE,WEBSITE
CUST00056,Dr. Andrew Wilkinson,kyliejohnson@example.net,6012757403,Chicago,IL,USA,2025-11-20 05:08:19,ACTIVE,WEBSITE
CUST00057,Mark Morgan,jasonjohnson@example.net,0495492274,Los Angeles,CA,USA,2025-09-09 00:25:37,INACTIVE,WEBSITE
CUST00058,Janet Murray,sheliacole@example.org,5807350585,Houston,TX,USA,2024-10-21 09:06:20,INACTIVE,WEBSITE
CUST00059,Angelica Smith,coleadam@example.org,7679047024,Houston,TX,USA,2023-09-21 17:39:54,INACTIVE,WEBSITE
CUST00060,Wendy Skinner,oliviahoward@example.org,9615059934,Seattle,WA,USA,2025-06-08 12:24:22,INACTIVE,WEBSITE
CUST00061,Sabrina Robinson,gibsonrichard@example.com,5953711818,New York,NY,USA,2025-10-14 02:57:09,INACTIVE,WEBSITE
CUST00062,Mark Mccoy,mullinsbrent@example.org,3544550682,Chicago,IL,USA,2024-10-24 12:58:18,INACTIVE,WEBSITE
CUST00063,Brian Henry,reynoldseric@example.org,7799908469,Los Angeles,CA,USA,2026-04-13 16:10:08,ACTIVE,WEBSITE
CUST00064,Adam Herman,timothy21@example.com,5258265814,Chicago,IL,USA,2025-10-05 20:20:20,INACTIVE,WEBSITE
CUST00065,Jamie Phillips,markvargas@example.net,0651140284,Boston,MA,USA,2026-02-09 14:31:34,ACTIVE,WEBSITE
CUST00066,Sandra Webster,michael07@example.net,9195438178,New York,NY,USA,2025-02-12 03:23:53,ACTIVE,WEBSITE
CUST00067,Tim Black,gcontreras@example.net,5578049123,Chicago,IL,USA,2025-12-03 06:16:38,ACTIVE,WEBSITE
CUST00068,Jose Flores,martineznancy@example.com,7582964151,New York,NY,USA,2024-01-21 21:14:52,INACTIVE,WEBSITE
CUST00069,Jeffrey Gentry,mariaherrera@example.net,8072832317,Chicago,IL,USA,2025-06-29 04:04:18,ACTIVE,WEBSITE
CUST00070,Matthew Donovan,darrell03@example.org,2769133400,Austin,TX,USA,2023-09-27 14:20:59,INACTIVE,WEBSITE
CUST00071,Jodi Ortiz,estesholly@example.com,4162597501,Houston,TX,USA,2025-09-10 07:12:59,INACTIVE,WEBSITE
CUST00072,Danielle Davis,hannah36@example.org,7916249978,Chicago,IL,USA,2024-07-18 11:29:09,ACTIVE,WEBSITE
CUST00073,Tammy Perry,zsmith@example.org,7224466518,Seattle,WA,USA,2024-03-04 12:54:35,ACTIVE,WEBSITE
CUST00074,Joseph Reynolds,bpierce@example.net,3275554738,Boston,MA,USA,2023-11-11 10:58:01,INACTIVE,WEBSITE
CUST00075,Jackie Ferguson,conradmary@example.com,0594015316,Seattle,WA,USA,2025-06-08 03:04:23,ACTIVE,WEBSITE
CUST00076,Jessica Keller,daniellehuynh@example.net,2322898038,Austin,TX,USA,2024-10-16 04:40:36,INACTIVE,WEBSITE
CUST00077,Christopher Wright,ystephenson@example.net,2513027427,Chicago,IL,USA,2025-07-14 01:45:57,INACTIVE,WEBSITE
CUST00078,Brian Chavez,richardsonpaul@example.net,4134278749,Los Angeles,CA,USA,2025-06-18 00:29:23,ACTIVE,WEBSITE
CUST00079,Cindy Howard,robertlevy@example.com,4484233042,Austin,TX,USA,2024-07-03 16:13:14,ACTIVE,WEBSITE
CUST00080,Brooke Hall,xsmith@example.org,7819869308,New York,NY,USA,2024-03-29 08:41:48,INACTIVE,WEBSITE
CUST00081,Robert Daniel,allisonbennett@example.org,1375935397,Seattle,WA,USA,2024-09-01 00:46:47,INACTIVE,WEBSITE
CUST00082,Michael Gaines,kendra63@example.com,3607719927,New York,NY,USA,2025-08-19 13:16:43,ACTIVE,WEBSITE
CUST00083,Billy Perez,greenesamantha@example.org,9902625224,Chicago,IL,USA,2023-11-29 03:37:29,INACTIVE,WEBSITE
CUST00084,Kathryn Martin,adamgoodwin@example.net,3931912973,Los Angeles,CA,USA,2025-06-14 13:49:33,ACTIVE,WEBSITE
CUST00085,Larry Bishop,hrios@example.org,3660907189,Chicago,IL,USA,2023-08-18 08:20:45,ACTIVE,WEBSITE
CUST00086,Andrew Gardner,peterspatrick@example.org,6549044495,Austin,TX,USA,2025-08-19 10:08:24,INACTIVE,WEBSITE
CUST00087,Kyle Schmitt,danadams@example.org,3601052181,New York,NY,USA,2025-12-15 17:47:36,ACTIVE,WEBSITE
CUST00088,Melinda Williams,james50@example.net,0838805125,New York,NY,USA,2024-07-16 06:04:17,ACTIVE,WEBSITE
CUST00089,Alexandra Cook,lielizabeth@example.org,9632340656,Austin,TX,USA,2023-11-24 08:50:57,INACTIVE,WEBSITE
CUST00090,Jesus Weaver,gonzalezjoan@example.net,1447028933,Houston,TX,USA,2023-09-15 08:42:27,INACTIVE,WEBSITE
CUST00091,Stacy Mcdaniel,katieblack@example.com,3382936308,Los Angeles,CA,USA,2025-10-07 13:05:28,ACTIVE,WEBSITE
CUST00092,Susan Huffman,wwhitaker@example.net,9974496994,Chicago,IL,USA,2024-03-19 16:18:36,INACTIVE,WEBSITE
CUST00093,Nicole Sanchez,zjohnston@example.net,4110354434,Houston,TX,USA,2025-01-04 01:32:02,INACTIVE,WEBSITE
CUST00094,Brandi Torres,yangchristopher@example.com,2808791713,Chicago,IL,USA,2025-04-25 06:50:29,INACTIVE,WEBSITE
CUST00095,Madison Callahan,vincentsanchez@example.net,5255952013,Seattle,WA,USA,2023-10-10 23:33:22,INACTIVE,WEBSITE
CUST00096,Kathryn King,zlee@example.org,5093808278,Seattle,WA,USA,2024-08-24 09:53:28,ACTIVE,WEBSITE
CUST00097,Rodney Clark,michaelmcguire@example.org,0732765103,Los Angeles,CA,USA,2024-01-03 08:19:02,INACTIVE,WEBSITE
CUST00098,Brandon Mills MD,kellygonzalez@example.org,0572125731,Austin,TX,USA,2024-12-14 21:08:46,ACTIVE,WEBSITE
CUST00099,Rachel House,theresa95@example.org,0694571894,Austin,TX,USA,2024-07-19 12:11:33,INACTIVE,WEBSITE
CUST00100,Sarah Chaney,daniellesanders@example.com,7870767567,Seattle,WA,USA,2025-07-15 17:43:22,INACTIVE,WEBSITE
